part_number,STC89C52RC,,,,
class,IC,,,,
PHYS_DES_PRE,U,,,,
vendor,*,,,,
body_name,STC89C52,,,,
jedec_type,DIP40-100-600,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,P1.0/T2,UNSPEC,1,Left,38
2,P1.1/T2EX,UNSPEC,1,Left,36
3,P1.2,UNSPEC,1,Left,34
4,P1.3,UNSPEC,1,Left,32
5,P1.4,UNSPEC,1,Left,30
6,P1.5,UNSPEC,1,Left,28
7,P1.6,UNSPEC,1,Left,26
8,P1.7,UNSPEC,1,Left,24
9,RST,UNSPEC,1,Left,22
10,P3.0/RXD,UNSPEC,1,Left,20
11,P3.1/TXD ,UNSPEC,1,Left,18
12,P3.2/INT0_N,UNSPEC,1,Left,16
13,P3.3/INT1_N,UNSPEC,1,Left,14
14,P3.4/T0,UNSPEC,1,Left,12
15,P3.5/T1,UNSPEC,1,Left,10
16,P3.6/WR_N,UNSPEC,1,Left,8
17,P3.7/RD_N,UNSPEC,1,Left,6
18,XTAL2,UNSPEC,1,Left,4
19,XTAL1,UNSPEC,1,Left,2
20,GND,UNSPEC,1,Left,0
21,P2.0/A8,UNSPEC,1,Right,0
22,P2.1/A9,UNSPEC,1,Right,2
23,P2.2/A10,UNSPEC,1,Right,4
24,P2.3/A11,UNSPEC,1,Right,6
25,P2.4/A12,UNSPEC,1,Right,8
26,P2.5/A13,UNSPEC,1,Right,10
27,P2.6/A14,UNSPEC,1,Right,12
28,P2.7/A15,UNSPEC,1,Right,14
29,PSEN_N,UNSPEC,1,Right,16
30,ALE/PROG_N,UNSPEC,1,Right,18
31,EA_N,UNSPEC,1,Right,20
32,P0.7/AD7,UNSPEC,1,Right,22
33,P0.6/AD6,UNSPEC,1,Right,24
34,P0.5/AD5,UNSPEC,1,Right,26
35,P0.4/AD4,UNSPEC,1,Right,28
36,P0.3/AD3,UNSPEC,1,Right,30
37,P0.2/AD2,UNSPEC,1,Right,32
38,P0.1/AD1,UNSPEC,1,Right,34
39,P0.0/AD0,UNSPEC,1,Right,36
40,VCC,UNSPEC,1,Right,38
